Station Name,Station Coordinates,Bikes Available,Name,Address,Coordinates,Rating
Napier & Commercial,"(49.274881, -123.069323)",1,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
7th & Laurel,"(49.265071, -123.123864)",0,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Science World,"(49.273691, -123.102232)",9,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
Pender & Victoria,"(49.280197, -123.065859)",1,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Cypress & 16th,"(49.25741, -123.148531)",5,Murchie's Fine Tea,"1501 Broadway W (Granville Street), Vancouver BC V6J 4Z6","(49.263764, -123.138955)",No rating provided
Spyglass & Seawall,"(49.270877, -123.115103)",8,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Keefer & Hawks,"(49.279235, -123.087528)",15,T-Rex Urban Food & Coffee,"1001 Main St (at Milross Ave), Vancouver BC V6A 4L4","(49.275902, -123.100166)",No rating provided
29th & Cambie,"(49.245135, -123.116098)",6,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
Victoria & 10th,"(49.261188, -123.066009)",0,Caffe Napoli,"1670 Commercial Dr (1st avenue east), Vancouver BC V5L 3Y4","(49.26987, -123.069474)",No rating provided
Commercial & Adanac,"(49.277436, -123.070427)",0,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Columbia & 14th,"(49.258902, -123.109596)",0,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Dunsmuir & Richards,"(49.282214, -123.114101)",10,888 Caffe Express,"888 Dunsmuir St, Vancouver BC V6C 3K4","(49.284616, -123.118269)",No rating provided
Campbell & Hastings,"(49.280852, -123.084746)",7,Klaus's Kaffee Haus,"291 Pender St E, Vancouver BC V6A 1T8","(49.280462, -123.097552)",No rating provided
Franklin & Nanaimo,"(49.282087, -123.056909)",4,The Narcissus,"1701 Powell St (Commercial Drive), Vancouver BC V5L 5C9","(49.284167, -123.070117)",No rating provided
Charles & Commercial,"(49.273103, -123.069892)",3,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Strangway Building,"(49.2661087286495, -123.2456811408)",6,Ike's Café,"1961 East Mall, Vancouver BC V6T 1Z1","(49.267575, -123.252382)",5.0
Beatty & Nelson,"(49.275679, -123.116963)",3,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
Trimble & 8th,"(49.2658, -123.20596)",10,NSCS Discovery Cafe,"1515 Discovery St (Belmont Ave), Vancouver BC V6R 4K5","(49.27311, -123.203169)",No rating provided
David Lam Park,"(49.270905, -123.126006)",18,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
Burrard & 4th,"(49.267859, -123.145782)",8,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Cypress & Cornwall,"(49.272827, -123.147744)",20,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Keefer & Princess,"(49.279369, -123.091241)",0,Aiyaohno Cafe,"425 Carrall St, Vancouver BC V6B 6E3","(49.281103, -123.104583)",No rating provided
Bidwell & Burnaby,"(49.28526, -123.141809)",15,Daily Grind Cafe,"1500 Georgia St W (Nicola), Vancouver BC V6G 2Z6","(49.290052, -123.130334)",No rating provided
11th & Kingsway,"(49.261122, -123.097571)",1,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Pender & Burrard,"(49.287097, -123.118551)",24,VFS Cafe,"420 Homer St (Carrall), Vancouver BC","(49.283122, -123.110921)",No rating provided
Columbia & 1st,"(49.269969, -123.109623)",10,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Melville & Bute,"(49.287782, -123.12395)",14,Market Veranda,"1610 Robson St, Vancouver BC V6G 1C7","(49.289558, -123.132807)",No rating provided
Anderson & 2nd,"(49.269361, -123.13782)",17,Nebur-King Coffee,"1359 Hornby St (Pacific Ave), Vancouver BC V6Z 1W7","(49.276876, -123.13083)",No rating provided
5th & Main,"(49.266456, -123.100324)",4,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Alexander & Dunlevy,"(49.284062, -123.095097)",3,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
13th & St George,"(49.258817, -123.092797)",3,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Commercial & Pandora,"(49.283236, -123.070443)",15,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
Grandview & Commercial,"(49.263746, -123.069892)",14,Toscani Coffee Bar,"1321 Commercial Dr, Vancouver BC V5L 3X5","(49.27265, -123.069953)",No rating provided
Expo & Smithe,"(49.276115, -123.114496)",11,Aiyaohno Cafe,"425 Carrall St, Vancouver BC V6B 6E3","(49.281103, -123.104583)",No rating provided
Cypress & 14th,"(49.25919, -123.148268)",3,Murchie's Fine Tea,"1501 Broadway W (Granville Street), Vancouver BC V6J 4Z6","(49.263764, -123.138955)",No rating provided
Brock Commons,"(49.269172, -123.25279)",1,Caffe Perugia,"2350 Health Sciences Mall Life Ctr (Agronomy Rd), Vancouver BC V6T 1Z3","(49.26223, -123.245109)",No rating provided
Beach & Broughton,"(49.281301, -123.139108)",11,Little Cafe,"1258 Robson St, Vancouver BC V6E 1C1","(49.286346, -123.127908)",5.5
Arbutus Greenway & 14th,"(49.258924, -123.152591)",1,Phoscao Cafe,"3007 Granville St, Vancouver BC V6H 3J9","(49.25877, -123.138934)",5.4
Alexander & Main,"(49.284157, -123.099917)",14,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
Hornby & Drake,"(49.277178, -123.13)",3,Starbucks,"720 Granville St, Vancouver BC V6Z 1E4","(49.282058, -123.118456)",No rating provided
Highbury & 8th,"(49.265442, -123.187738)",13,C'est Mon Cafe,"3420W Broadway W, Vancouver BC V6R 2B3","(49.264138, -123.18018)",No rating provided
Pharmaceutical Sciences,"(49.26262, -123.2431)",2,Ike's Café,"1961 East Mall, Vancouver BC V6T 1Z1","(49.267575, -123.252382)",5.0
Haro & Denman,"(49.290587, -123.13625)",11,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
Windsor & 14th,"(49.257985, -123.083366)",12,The Paper Crane,"531 Broadway E, Vancouver BC V5T 1X4","(49.262672, -123.092227)",5.3
Prince Edward & 16th,"(49.256694, -123.096579)",3,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Cardero & Davie,"(49.285512, -123.1384)",1,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
Stamps Landing,"(49.26893, -123.11813)",6,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Marinaside & Davie,"(49.273471, -123.118016)",21,Starbucks,"720 Granville St, Vancouver BC V6Z 1E4","(49.282058, -123.118456)",No rating provided
Adanac & McLean,"(49.277665, -123.073653)",14,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Bute & Davie,"(49.282055, -123.133045)",2,Dudoc Vancouver,"1445 Georgia St W (btwn Nicola & Broughton), Vancouver BC V6G 2T3","(49.28964, -123.128677)",No rating provided
Victoria & 4th,"(49.266725, -123.065925)",5,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Heather & 29th,"(49.245535, -123.120496)",7,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
McNicoll & Arbutus,"(49.276292, -123.150592)",12,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Jervis & Robson,"(49.28691, -123.128818)",1,Nami Vietnamese,"885 W Georgia St, Vancouver BC V6C 2G2","(49.285465, -123.120126)",No rating provided
IK Barber Learning Centre,"(49.267561, -123.252261)",0,Caffe Perugia,"2350 Health Sciences Mall Life Ctr (Agronomy Rd), Vancouver BC V6T 1Z3","(49.26223, -123.245109)",No rating provided
Granville Island,"(49.27029, -123.135025)",14,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
6th & Prince Edward,"(49.265242, -123.095577)",0,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Broughton & Davie,"(49.283749, -123.136133)",0,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
Adanac & Lakewood,"(49.27751, -123.061429)",1,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Cypress & 10th,"(49.262944, -123.148109)",0,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Thunderbird Parkade,"(49.261655, -123.241924)",3,Starbucks,"6138 Student Union Blvd (in Pacific Spirit Pl.), Vancouver BC V6T 1Z1","(49.267418, -123.25018)",5.1
Burrard Station (Melville & Dunsmuir),"(49.285871, -123.12105)",12,Blenz Coffee,"250 Howe St (at Waterfront Centre), Vancouver BC V6C 3R8","(49.286602, -123.113327)",5.6
22nd & Cambie,"(49.251358, -123.115637)",0,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
Glen & Broadway,"(49.262242, -123.081459)",11,Blenz Coffee,"2470 Commercial Dr (at E Broadway), Vancouver BC V5N 4B9","(49.262614, -123.069508)",4.9
Stanley Park - Totem Poles,"(49.298657, -123.121176)",0,Blue Edge Cafe,"510 Nicola St, Vancouver BC V6G 3J7","(49.290839, -123.127481)",5.5
Davie & Beach,"(49.287528, -123.142139)",19,Trees Cheesecake & Organic Coffee,"1160 Davie St, Vancouver BC V6E 1N1","(49.281153, -123.132656)",No rating provided
Pender & Gore,"(49.280284, -123.097052)",6,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
Richards & Davie,"(49.275683, -123.124388)",0,Latin Square,"1105 Davie St (Thurlow Street), Vancouver BC","(49.280726, -123.131159)",No rating provided
Pender & Commercial,"(49.280332, -123.070068)",9,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
18th & Cambie,"(49.254818, -123.114785)",0,Cafe Ami,"899 12th Ave W, Vancouver BC V5Z 1M9","(49.260643, -123.124172)",5.0
2nd & Commercial,"(49.268616, -123.069908)",2,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Wesbrook Village - Berton & Shrum,"(49.25478, -123.23621)",3,Blenz Coffee,"3381 Wesbrook Mall (at Gray Ave.), Vancouver BC V6S 0B1","(49.253982, -123.235073)",6.9
Chilco & Robson,"(49.293257, -123.138563)",16,Blue Edge Cafe,"510 Nicola St, Vancouver BC V6G 3J7","(49.290839, -123.127481)",5.5
Keefer & Columbia,"(49.279342, -123.101822)",10,VFS Cafe,"420 Homer St (Carrall), Vancouver BC","(49.283122, -123.110921)",No rating provided
Rogers Tower,"(49.288682, -123.11818)",14,Cafe Monaco,"356 Water St, Vancouver BC V6B 1B6","(49.284445, -123.110223)",No rating provided
Woodland & Graveley,"(49.270684, -123.073562)",0,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Cardero & Bayshore,"(49.291597, -123.129158)",11,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
Nelson & Denman,"(49.2890705989865, -123.138407369468)",13,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
8th & Fraser,"(49.263382, -123.088837)",1,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Balaclava & 6th,"(49.266924, -123.173849)",14,Good Earth Coffee House,"2505 Alma St (Broadway), Vancouver BC V6R 3R8","(49.26411, -123.186096)",No rating provided
Cambie & Water,"(49.284605, -123.108662)",30,Blenz Coffee,"250 Howe St (at Waterfront Centre), Vancouver BC V6C 3R8","(49.286602, -123.113327)",5.6
Helmcken & Burrard,"(49.279938, -123.127478)",4,Fuse Pan Asian Cafe,"181 Roundhouse Mews, Vancouver BC V6Z 2W3","(49.273493, -123.122349)",No rating provided
Hornby & Pender,"(49.28602, -123.116624)",20,Nusa Coffee,"310 Cordova St W, Vancouver BC V6B 1E8","(49.283549, -123.109741)",No rating provided
7th & Heather,"(49.265089, -123.119425)",1,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Union & Dunlevy,"(49.277595, -123.09583)",10,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
Richards & Helmcken,"(49.277141, -123.122589)",4,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
Keefer & Abbott,"(49.279821, -123.10802)",9,Nusa Coffee,"310 Cordova St W, Vancouver BC V6B 1E8","(49.283549, -123.109741)",No rating provided
8th & Prince Edward,"(49.263518, -123.09568)",0,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
