Station Name,Station Coordinates,Bikes Available,Name,Address,Coordinates,Rating
Trafalgar & Broadway,"(49.264326, -123.164725)",5,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Napier & Commercial,"(49.274881, -123.069323)",3,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
7th & Laurel,"(49.265071, -123.123864)",1,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Science World,"(49.273691, -123.102232)",7,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
Pender & Victoria,"(49.280197, -123.065859)",2,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Cypress & 16th,"(49.25741, -123.148531)",4,Murchie's Fine Tea,"1501 Broadway W (Granville Street), Vancouver BC V6J 4Z6","(49.263764, -123.138955)",No rating provided
Spyglass & Seawall,"(49.270877, -123.115103)",8,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Keefer & Hawks,"(49.279235, -123.087528)",6,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
29th & Cambie,"(49.245135, -123.116098)",7,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
Victoria & 10th,"(49.261188, -123.066009)",0,Caffe Napoli,"1670 Commercial Dr (1st avenue east), Vancouver BC V5L 3Y4","(49.26987, -123.069474)",No rating provided
Commercial & Adanac,"(49.277436, -123.070427)",7,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
Columbia & 14th,"(49.258902, -123.109596)",4,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Dunsmuir & Richards,"(49.282214, -123.114101)",14,Blenz Coffee,"999 Granville St (at Nelson St.), Vancouver BC V6Z 1L3","(49.279423, -123.123018)",5.8
Campbell & Hastings,"(49.280852, -123.084746)",4,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
Franklin & Nanaimo,"(49.282087, -123.056909)",8,The Narcissus,"1701 Powell St (Commercial Drive), Vancouver BC V5L 5C9","(49.284167, -123.070117)",No rating provided
Charles & Commercial,"(49.273103, -123.069892)",15,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
Strangway Building,"(49.2661087286495, -123.2456811408)",7,Ike's Café,"1961 East Mall, Vancouver BC V6T 1Z1","(49.267575, -123.252382)",5.0
Beatty & Nelson,"(49.275679, -123.116963)",4,Starbucks,"720 Granville St, Vancouver BC V6Z 1E4","(49.282058, -123.118456)",No rating provided
Trimble & 8th,"(49.2658, -123.20596)",7,NSCS Discovery Cafe,"1515 Discovery St (Belmont Ave), Vancouver BC V6R 4K5","(49.27311, -123.203169)",No rating provided
David Lam Park,"(49.270905, -123.126006)",11,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
Burrard & 4th,"(49.267859, -123.145782)",2,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Cypress & Cornwall,"(49.272827, -123.147744)",10,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Keefer & Princess,"(49.279369, -123.091241)",7,Aiyaohno Cafe,"425 Carrall St, Vancouver BC V6B 6E3","(49.281103, -123.104583)",No rating provided
Bidwell & Burnaby,"(49.28526, -123.141809)",13,Daily Grind Cafe,"1500 Georgia St W (Nicola), Vancouver BC V6G 2Z6","(49.290052, -123.130334)",No rating provided
11th & Kingsway,"(49.261122, -123.097571)",0,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Pender & Burrard,"(49.287097, -123.118551)",20,Juan de Fuca Coffee Co,"1185 Georgia St W (at Bute St), Vancouver BC V6E 4E6","(49.287072, -123.124806)",No rating provided
Columbia & 1st,"(49.269969, -123.109623)",0,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Melville & Bute,"(49.287782, -123.12395)",14,Daily Grind Cafe,"1500 Georgia St W (Nicola), Vancouver BC V6G 2Z6","(49.290052, -123.130334)",No rating provided
Anderson & 2nd,"(49.269361, -123.13782)",4,Nebur-King Coffee,"1359 Hornby St (Pacific Ave), Vancouver BC V6Z 1W7","(49.276876, -123.13083)",No rating provided
5th & Main,"(49.266456, -123.100324)",13,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Alexander & Dunlevy,"(49.284062, -123.095097)",13,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
13th & St George,"(49.258817, -123.092797)",8,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Commercial & Pandora,"(49.283236, -123.070443)",8,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
Grandview & Commercial,"(49.263746, -123.069892)",4,Toscani Coffee Bar,"1321 Commercial Dr, Vancouver BC V5L 3X5","(49.27265, -123.069953)",No rating provided
Expo & Smithe,"(49.276115, -123.114496)",9,Mr. Coffee,"39 Pender St E (btwn Carrall & Columbia St), Vancouver BC V6A 1S9","(49.280346, -123.103545)",No rating provided
Cypress & 14th,"(49.25919, -123.148268)",2,Murchie's Fine Tea,"1501 Broadway W (Granville Street), Vancouver BC V6J 4Z6","(49.263764, -123.138955)",No rating provided
Brock Commons,"(49.269172, -123.25279)",11,Caffe Perugia,"2350 Health Sciences Mall Life Ctr (Agronomy Rd), Vancouver BC V6T 1Z3","(49.26223, -123.245109)",No rating provided
Beach & Broughton,"(49.281301, -123.139108)",5,Little Cafe,"1258 Robson St, Vancouver BC V6E 1C1","(49.286346, -123.127908)",5.5
Arbutus Greenway & 14th,"(49.258924, -123.152591)",10,Phoscao Cafe,"3007 Granville St, Vancouver BC V6H 3J9","(49.25877, -123.138934)",5.4
Alexander & Main,"(49.284157, -123.099917)",17,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
Hornby & Drake,"(49.277178, -123.13)",7,Starbucks,"720 Granville St, Vancouver BC V6Z 1E4","(49.282058, -123.118456)",No rating provided
Highbury & 8th,"(49.265442, -123.187738)",10,C'est Mon Cafe,"3420W Broadway W, Vancouver BC V6R 2B3","(49.264138, -123.18018)",No rating provided
Pharmaceutical Sciences,"(49.26262, -123.2431)",8,Ike's Café,"1961 East Mall, Vancouver BC V6T 1Z1","(49.267575, -123.252382)",5.0
Haro & Denman,"(49.290587, -123.13625)",6,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
Windsor & 14th,"(49.257985, -123.083366)",7,The Paper Crane,"531 Broadway E, Vancouver BC V5T 1X4","(49.262672, -123.092227)",5.3
Prince Edward & 16th,"(49.256694, -123.096579)",7,Cultivate Tea,"2280 Main St, Vancouver BC","(49.25248, -123.101174)",No rating provided
Cardero & Davie,"(49.285512, -123.1384)",1,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
Stamps Landing,"(49.26893, -123.11813)",5,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Marinaside & Davie,"(49.273471, -123.118016)",10,Starbucks,"720 Granville St, Vancouver BC V6Z 1E4","(49.282058, -123.118456)",No rating provided
Adanac & McLean,"(49.277665, -123.073653)",7,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Bute & Davie,"(49.282055, -123.133045)",13,Honey's Buns,"925 Georgia St W (Hornby), Vancouver BC V6C 3L2","(49.284035, -123.120166)",No rating provided
Victoria & 4th,"(49.266725, -123.065925)",2,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Heather & 29th,"(49.245535, -123.120496)",10,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
McNicoll & Arbutus,"(49.276292, -123.150592)",8,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Jervis & Robson,"(49.28691, -123.128818)",7,Trees Cheesecake & Organic Coffee,"1160 Davie St, Vancouver BC V6E 1N1","(49.281153, -123.132656)",No rating provided
IK Barber Learning Centre,"(49.267561, -123.252261)",9,Caffe Perugia,"2350 Health Sciences Mall Life Ctr (Agronomy Rd), Vancouver BC V6T 1Z3","(49.26223, -123.245109)",No rating provided
Granville Island,"(49.27029, -123.135025)",21,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
6th & Prince Edward,"(49.265242, -123.095577)",4,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Broughton & Davie,"(49.283749, -123.136133)",4,Blenz Coffee Granville - Davie,"700 Davie St, Vancouver BC V6Z 1M6","(49.27722, -123.126642)",No rating provided
Adanac & Lakewood,"(49.27751, -123.061429)",1,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
Cypress & 10th,"(49.262944, -123.148109)",7,Forty Ninth Parallel,"2152 4th Ave W, Vancouver BC V6K 1N6","(49.267985, -123.154157)",No rating provided
Thunderbird Parkade,"(49.261655, -123.241924)",4,Starbucks,"6138 Student Union Blvd (in Pacific Spirit Pl.), Vancouver BC V6T 1Z1","(49.267418, -123.25018)",5.1
Burrard Station (Melville & Dunsmuir),"(49.285871, -123.12105)",12,Cafe Taza,"355 Burrard St (Hastings), Vancouver BC V6C 2G6","(49.287524, -123.116813)",No rating provided
22nd & Cambie,"(49.251358, -123.115637)",3,City One Cafe,"954 King Edward Ave W, Vancouver BC V5Z 2E2","(49.249021, -123.126262)",No rating provided
Glen & Broadway,"(49.262242, -123.081459)",7,Blenz Coffee,"2470 Commercial Dr (at E Broadway), Vancouver BC V5N 4B9","(49.262614, -123.069508)",4.9
Stanley Park - Totem Poles,"(49.298657, -123.121176)",16,Blue Edge Cafe,"510 Nicola St, Vancouver BC V6G 3J7","(49.290839, -123.127481)",5.5
Davie & Beach,"(49.287528, -123.142139)",20,Trees Cheesecake & Organic Coffee,"1160 Davie St, Vancouver BC V6E 1N1","(49.281153, -123.132656)",No rating provided
Pender & Gore,"(49.280284, -123.097052)",4,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
Richards & Davie,"(49.275683, -123.124388)",5,Latin Square,"1105 Davie St (Thurlow Street), Vancouver BC","(49.280726, -123.131159)",No rating provided
Pender & Commercial,"(49.280332, -123.070068)",6,Turk's Coffee Exchange,"1276 Commercial Dr, Vancouver BC V5L 3X4","(49.273221, -123.069352)",No rating provided
18th & Cambie,"(49.254818, -123.114785)",1,Cafe Ami,"899 12th Ave W, Vancouver BC V5Z 1M9","(49.260643, -123.124172)",5.0
2nd & Commercial,"(49.268616, -123.069908)",5,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
Wesbrook Village - Berton & Shrum,"(49.25478, -123.23621)",18,Blenz Coffee,"3381 Wesbrook Mall (at Gray Ave.), Vancouver BC V6S 0B1","(49.253982, -123.235073)",6.9
Chilco & Robson,"(49.293257, -123.138563)",13,Blue Edge Cafe,"510 Nicola St, Vancouver BC V6G 3J7","(49.290839, -123.127481)",5.5
Keefer & Columbia,"(49.279342, -123.101822)",8,VFS Cafe,"420 Homer St (Carrall), Vancouver BC","(49.283122, -123.110921)",No rating provided
Rogers Tower,"(49.288682, -123.11818)",7,Cultured Coffee & Tea,"678 Dunsmuir St (in Granville SkyTrain Station), Vancouver BC V6B 1N3","(49.283427, -123.116383)",No rating provided
Woodland & Graveley,"(49.270684, -123.073562)",4,Roaster Central,"1015 Clark Dr, Vancouver BC V5L 3K1","(49.275687, -123.077918)",No rating provided
Cardero & Bayshore,"(49.291597, -123.129158)",11,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
Nelson & Denman,"(49.2890705989865, -123.138407369468)",4,Blenz Coffee Robson - Bute,"1201 Robson St, Vancouver BC V6E 1C2","(49.286212, -123.126923)",No rating provided
8th & Fraser,"(49.263382, -123.088837)",9,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
Balaclava & 6th,"(49.266924, -123.173849)",12,Good Earth Coffee House,"2505 Alma St (Broadway), Vancouver BC V6R 3R8","(49.26411, -123.186096)",No rating provided
Cambie & Water,"(49.284605, -123.108662)",27,Mr. Coffee,"39 Pender St E (btwn Carrall & Columbia St), Vancouver BC V6A 1S9","(49.280346, -123.103545)",No rating provided
Helmcken & Burrard,"(49.279938, -123.127478)",13,Lovelarte,"345 Robson St, Vancouver BC V6B 6B3","(49.279123, -123.116016)",No rating provided
Hornby & Pender,"(49.28602, -123.116624)",18,VFS Cafe,"420 Homer St (Carrall), Vancouver BC","(49.283122, -123.110921)",No rating provided
7th & Heather,"(49.265089, -123.119425)",2,Jammer Cafe Motors Inc,"350 8th Ave W, Vancouver BC","(49.263663, -123.112021)",No rating provided
Union & Dunlevy,"(49.277595, -123.09583)",7,Bubble King Tea House,"88 Pender St W, Vancouver BC V6B 6N9","(49.280213, -123.107023)",No rating provided
Richards & Helmcken,"(49.277141, -123.122589)",6,Nami Vietnamese,"885 W Georgia St, Vancouver BC V6C 2G2","(49.285465, -123.120126)",No rating provided
Keefer & Abbott,"(49.279821, -123.10802)",19,Pallet Coffee Roasters,"848 Hastings St W, Vancouver BC V6C 1C8","(49.28618, -123.115644)",No rating provided
8th & Prince Edward,"(49.263518, -123.09568)",3,Lucky's Doughnuts,"2902 Main St, Vancouver BC V5T 3G3","(49.259164, -123.100851)",No rating provided
